resolution,emotions,people,tries,successes
12x16,14,10,69,66
12x16,14,11,2,2
12x16,14,12,22,21
12x16,14,13,2,2
12x16,14,14,22,22
12x16,14,15,2,2
12x16,14,16,22,21
12x16,14,17,2,2
12x16,14,18,22,20
12x16,14,19,2,2
12x16,14,2,71,67
12x16,14,20,22,22
12x16,14,21,2,2
12x16,14,22,2,2
12x16,14,23,2,2
12x16,14,24,2,1
12x16,14,25,2,2
12x16,14,26,2,2
12x16,14,27,2,1
12x16,14,28,2,2
12x16,14,29,2,2
12x16,14,3,14,14
12x16,14,30,2,2
12x16,14,31,2,1
12x16,14,32,2,2
12x16,14,33,2,2
12x16,14,34,2,1
12x16,14,35,2,2
12x16,14,36,2,2
12x16,14,37,2,2
12x16,14,38,2,2
12x16,14,39,2,1
12x16,14,4,71,70
12x16,14,40,2,2
12x16,14,5,2,2
12x16,14,6,59,58
12x16,14,7,2,2
12x16,14,8,59,58
12x16,14,9,2,2
15x20,14,10,69,67
15x20,14,11,2,2
15x20,14,12,22,21
15x20,14,13,2,2
15x20,14,14,22,22
15x20,14,15,2,2
15x20,14,16,22,22
15x20,14,17,2,2
15x20,14,18,22,22
15x20,14,19,2,2
15x20,14,2,71,70
15x20,14,20,22,22
15x20,14,21,2,1
15x20,14,22,2,2
15x20,14,23,2,2
15x20,14,24,2,2
15x20,14,25,2,2
15x20,14,26,2,2
15x20,14,27,2,2
15x20,14,28,2,2
15x20,14,29,2,2
15x20,14,3,14,14
15x20,14,30,2,2
15x20,14,31,2,2
15x20,14,32,2,2
15x20,14,33,2,2
15x20,14,34,2,2
15x20,14,35,2,2
15x20,14,36,2,2
15x20,14,37,2,1
15x20,14,38,2,2
15x20,14,39,2,2
15x20,14,4,71,69
15x20,14,40,2,2
15x20,14,5,2,2
15x20,14,6,59,57
15x20,14,7,2,2
15x20,14,8,59,56
15x20,14,9,2,2
18x24,14,10,22,22
18x24,14,11,2,2
18x24,14,12,2,2
18x24,14,13,2,2
18x24,14,14,2,2
18x24,14,15,2,2
18x24,14,16,2,2
18x24,14,17,2,2
18x24,14,18,2,2
18x24,14,19,2,2
18x24,14,2,22,21
18x24,14,20,2,2
18x24,14,21,2,2
18x24,14,22,2,2
18x24,14,23,2,2
18x24,14,24,2,2
18x24,14,25,2,2
18x24,14,26,2,2
18x24,14,27,2,2
18x24,14,28,2,2
18x24,14,29,2,2
18x24,14,3,2,2
18x24,14,30,2,2
18x24,14,31,2,2
18x24,14,32,2,2
18x24,14,33,2,2
18x24,14,34,2,2
18x24,14,35,2,2
18x24,14,36,2,2
18x24,14,37,2,1
18x24,14,38,2,1
18x24,14,39,2,2
18x24,14,4,22,22
18x24,14,40,2,2
18x24,14,5,2,2
18x24,14,6,22,21
18x24,14,7,2,2
18x24,14,8,22,22
18x24,14,9,2,2
21x28,14,10,22,20
21x28,14,11,2,1
21x28,14,12,2,2
21x28,14,13,2,2
21x28,14,14,2,2
21x28,14,15,2,2
21x28,14,16,2,2
21x28,14,17,2,2
21x28,14,18,2,2
21x28,14,19,2,2
21x28,14,2,22,22
21x28,14,20,2,2
21x28,14,21,2,2
21x28,14,22,2,2
21x28,14,23,2,2
21x28,14,24,2,1
21x28,14,25,2,2
21x28,14,26,2,2
21x28,14,27,2,1
21x28,14,28,2,2
21x28,14,29,2,2
21x28,14,3,2,2
21x28,14,30,2,2
21x28,14,31,2,2
21x28,14,32,2,2
21x28,14,33,2,1
21x28,14,34,2,2
21x28,14,35,2,2
21x28,14,36,2,2
21x28,14,37,2,1
21x28,14,38,2,1
21x28,14,39,2,2
21x28,14,4,22,21
21x28,14,40,2,2
21x28,14,5,2,2
21x28,14,6,22,20
21x28,14,7,2,2
21x28,14,8,22,22
21x28,14,9,2,2
24x32,14,10,22,21
24x32,14,11,2,2
24x32,14,12,2,2
24x32,14,13,2,2
24x32,14,14,2,2
24x32,14,15,2,1
24x32,14,16,2,2
24x32,14,17,2,2
24x32,14,18,2,2
24x32,14,19,2,2
24x32,14,2,22,22
24x32,14,20,2,2
24x32,14,21,2,2
24x32,14,22,2,2
24x32,14,23,2,2
24x32,14,24,2,2
24x32,14,25,2,2
24x32,14,26,2,1
24x32,14,27,2,2
24x32,14,28,2,2
24x32,14,29,2,2
24x32,14,3,2,2
24x32,14,30,2,2
24x32,14,31,2,2
24x32,14,32,2,2
24x32,14,4,22,22
24x32,14,5,2,2
24x32,14,6,22,22
24x32,14,7,2,2
24x32,14,8,22,21
24x32,14,9,2,2
27x36,14,10,22,22
27x36,14,11,2,2
27x36,14,12,2,2
27x36,14,13,2,2
27x36,14,14,2,2
27x36,14,15,2,2
27x36,14,16,2,2
27x36,14,17,2,1
27x36,14,18,2,2
27x36,14,19,2,2
27x36,14,2,22,21
27x36,14,20,2,2
27x36,14,21,2,2
27x36,14,22,2,2
27x36,14,23,2,2
27x36,14,24,2,2
27x36,14,25,2,2
27x36,14,26,2,2
27x36,14,27,2,2
27x36,14,28,2,2
27x36,14,29,2,2
27x36,14,3,2,2
27x36,14,30,2,2
27x36,14,31,2,2
27x36,14,32,2,2
27x36,14,4,22,21
27x36,14,5,2,2
27x36,14,6,22,20
27x36,14,7,2,2
27x36,14,8,22,22
27x36,14,9,2,2
30x40,14,10,22,21
30x40,14,11,2,2
30x40,14,12,2,2
30x40,14,13,2,2
30x40,14,14,2,2
30x40,14,15,2,2
30x40,14,16,2,2
30x40,14,17,2,1
30x40,14,18,2,2
30x40,14,19,2,2
30x40,14,2,27,26
30x40,14,20,2,2
30x40,14,21,2,2
30x40,14,22,2,2
30x40,14,23,2,2
30x40,14,24,2,2
30x40,14,25,2,2
30x40,14,26,2,2
30x40,14,27,2,2
30x40,14,28,2,2
30x40,14,29,2,2
30x40,14,3,7,6
30x40,14,30,2,2
30x40,14,31,2,2
30x40,14,32,2,2
30x40,14,4,27,27
30x40,14,5,2,2
30x40,14,6,22,22
30x40,14,7,2,2
30x40,14,8,22,22
30x40,14,9,2,2
33x44,14,10,22,22
33x44,14,11,2,2
33x44,14,12,2,2
33x44,14,13,2,2
33x44,14,14,2,2
33x44,14,15,2,2
33x44,14,16,2,2
33x44,14,17,2,2
33x44,14,18,2,2
33x44,14,19,2,2
33x44,14,2,27,27
33x44,14,20,2,2
33x44,14,3,7,7
33x44,14,4,27,27
33x44,14,5,2,2
33x44,14,6,22,21
33x44,14,7,2,2
33x44,14,8,22,22
33x44,14,9,2,2
36x48,14,10,22,22
36x48,14,11,2,2
36x48,14,12,2,2
36x48,14,13,2,2
36x48,14,14,2,1
36x48,14,15,2,2
36x48,14,16,2,2
36x48,14,17,2,2
36x48,14,18,2,2
36x48,14,19,2,2
36x48,14,2,27,27
36x48,14,20,2,2
36x48,14,3,7,7
36x48,14,4,27,27
36x48,14,5,2,2
36x48,14,6,22,22
36x48,14,7,2,2
36x48,14,8,22,22
36x48,14,9,2,2
39x52,14,10,22,22
39x52,14,11,2,1
39x52,14,12,2,2
39x52,14,13,2,2
39x52,14,14,2,2
39x52,14,15,2,2
39x52,14,16,2,1
39x52,14,17,2,2
39x52,14,18,2,2
39x52,14,19,2,2
39x52,14,2,27,27
39x52,14,20,2,2
39x52,14,3,7,7
39x52,14,4,27,25
39x52,14,5,2,2
39x52,14,6,22,21
39x52,14,7,2,2
39x52,14,8,22,22
39x52,14,9,2,2
3x4,14,10,86,63
3x4,14,11,7,6
3x4,14,12,28,20
3x4,14,13,7,6
3x4,14,14,28,16
3x4,14,15,7,6
3x4,14,16,28,25
3x4,14,17,7,5
3x4,14,18,28,24
3x4,14,19,7,6
3x4,14,2,88,82
3x4,14,20,38,27
3x4,14,21,7,5
3x4,14,22,17,13
3x4,14,23,7,4
3x4,14,24,17,11
3x4,14,25,7,3
3x4,14,26,17,8
3x4,14,27,7,3
3x4,14,28,17,13
3x4,14,29,7,4
3x4,14,3,29,28
3x4,14,30,17,11
3x4,14,31,2,0
3x4,14,32,12,6
3x4,14,33,2,1
3x4,14,34,12,8
3x4,14,35,2,0
3x4,14,36,12,4
3x4,14,37,2,0
3x4,14,38,12,9
3x4,14,39,2,1
3x4,14,4,88,82
3x4,14,40,12,8
3x4,14,5,17,15
3x4,14,6,76,69
3x4,14,7,17,15
3x4,14,8,76,66
3x4,14,9,17,14
42x56,14,10,22,22
42x56,14,2,27,27
42x56,14,3,7,7
42x56,14,4,27,27
42x56,14,5,2,2
42x56,14,6,22,21
42x56,14,7,2,2
42x56,14,8,22,21
42x56,14,9,2,1
45x60,14,10,22,22
45x60,14,2,27,27
45x60,14,3,7,6
45x60,14,4,27,27
45x60,14,5,2,2
45x60,14,6,22,22
45x60,14,7,2,2
45x60,14,8,22,20
45x60,14,9,2,2
6x8,14,10,86,81
6x8,14,11,7,6
6x8,14,12,28,27
6x8,14,13,7,6
6x8,14,14,28,28
6x8,14,15,7,7
6x8,14,16,28,23
6x8,14,17,7,7
6x8,14,18,28,25
6x8,14,19,7,7
6x8,14,2,90,88
6x8,14,20,38,35
6x8,14,21,7,7
6x8,14,22,17,15
6x8,14,23,7,6
6x8,14,24,17,17
6x8,14,25,7,5
6x8,14,26,17,14
6x8,14,27,7,4
6x8,14,28,17,16
6x8,14,29,7,6
6x8,14,3,29,27
6x8,14,30,17,13
6x8,14,31,2,2
6x8,14,32,12,8
6x8,14,33,2,2
6x8,14,34,12,7
6x8,14,35,2,1
6x8,14,36,12,4
6x8,14,37,2,1
6x8,14,38,12,5
6x8,14,39,2,0
6x8,14,4,88,85
6x8,14,40,12,6
6x8,14,5,17,16
6x8,14,6,76,74
6x8,14,7,17,17
6x8,14,8,76,69
6x8,14,9,17,17
9x12,14,10,86,82
9x12,14,11,7,7
9x12,14,12,28,25
9x12,14,13,7,7
9x12,14,14,28,26
9x12,14,15,7,6
9x12,14,16,28,28
9x12,14,17,7,7
9x12,14,18,28,26
9x12,14,19,7,6
9x12,14,2,88,85
9x12,14,20,38,36
9x12,14,21,7,7
9x12,14,22,17,15
9x12,14,23,7,6
9x12,14,24,17,14
9x12,14,25,7,7
9x12,14,26,17,15
9x12,14,27,7,6
9x12,14,28,17,15
9x12,14,29,7,6
9x12,14,3,29,28
9x12,14,30,17,13
9x12,14,31,2,2
9x12,14,32,12,12
9x12,14,33,2,2
9x12,14,34,12,11
9x12,14,35,2,2
9x12,14,36,12,9
9x12,14,37,2,2
9x12,14,38,12,11
9x12,14,39,2,2
9x12,14,4,88,86
9x12,14,40,12,8
