resolution,people,tries,successes
12x16,10,67,64
12x16,12,20,19
12x16,14,20,20
12x16,16,20,19
12x16,18,20,19
12x16,2,57,55
12x16,20,20,20
12x16,4,57,56
12x16,6,57,56
12x16,8,57,56
15x20,10,67,65
15x20,12,20,19
15x20,14,20,20
15x20,16,20,20
15x20,18,20,20
15x20,2,57,56
15x20,20,20,20
15x20,4,57,55
15x20,6,57,55
15x20,8,57,54
18x24,10,20,20
18x24,2,20,19
18x24,4,20,20
18x24,6,20,19
18x24,8,20,20
21x28,10,20,18
21x28,2,20,20
21x28,4,20,19
21x28,6,20,18
21x28,8,20,20
24x32,10,20,19
24x32,2,20,20
24x32,4,20,20
24x32,6,20,20
24x32,8,20,19
27x36,10,20,20
27x36,2,20,19
27x36,4,20,19
27x36,6,20,18
27x36,8,20,20
30x40,10,20,19
30x40,2,25,24
30x40,3,5,4
30x40,4,25,25
30x40,6,20,20
30x40,8,20,20
33x44,10,20,20
33x44,2,25,25
33x44,3,5,5
33x44,4,25,25
33x44,6,20,19
33x44,8,20,20
36x48,10,20,20
36x48,2,25,25
36x48,3,5,5
36x48,4,25,25
36x48,6,20,20
36x48,8,20,20
39x52,10,20,20
39x52,2,25,25
39x52,3,5,5
39x52,4,25,23
39x52,6,20,19
39x52,8,20,20
3x4,10,84,62
3x4,11,5,4
3x4,12,26,19
3x4,13,5,4
3x4,14,26,14
3x4,15,5,4
3x4,16,26,24
3x4,17,5,4
3x4,18,26,22
3x4,19,5,4
3x4,2,74,69
3x4,20,36,25
3x4,21,5,4
3x4,22,15,12
3x4,23,5,2
3x4,24,15,9
3x4,25,5,3
3x4,26,15,7
3x4,27,5,2
3x4,28,15,11
3x4,29,5,4
3x4,3,15,15
3x4,30,15,10
3x4,32,10,5
3x4,34,10,7
3x4,36,10,2
3x4,38,10,8
3x4,4,74,69
3x4,40,10,6
3x4,5,15,14
3x4,6,74,68
3x4,7,15,13
3x4,8,74,64
3x4,9,15,12
42x56,10,20,20
42x56,2,25,25
42x56,3,5,5
42x56,4,25,25
42x56,6,20,19
42x56,8,20,19
45x60,10,20,20
45x60,2,25,25
45x60,3,5,4
45x60,4,25,25
45x60,6,20,20
45x60,8,20,18
6x8,10,84,79
6x8,11,5,5
6x8,12,26,25
6x8,13,5,5
6x8,14,26,26
6x8,15,5,5
6x8,16,26,21
6x8,17,5,5
6x8,18,26,23
6x8,19,5,5
6x8,2,76,74
6x8,20,36,34
6x8,21,5,5
6x8,22,15,13
6x8,23,5,5
6x8,24,15,15
6x8,25,5,3
6x8,26,15,12
6x8,27,5,3
6x8,28,15,14
6x8,29,5,4
6x8,3,15,13
6x8,30,15,11
6x8,32,10,7
6x8,34,10,6
6x8,36,10,2
6x8,38,10,4
6x8,4,74,71
6x8,40,10,6
6x8,5,15,14
6x8,6,74,72
6x8,7,15,15
6x8,8,74,67
6x8,9,15,15
9x12,10,84,80
9x12,11,5,5
9x12,12,26,23
9x12,13,5,5
9x12,14,26,24
9x12,15,5,4
9x12,16,26,26
9x12,17,5,5
9x12,18,26,24
9x12,19,5,5
9x12,2,74,71
9x12,20,36,34
9x12,21,5,5
9x12,22,15,14
9x12,23,5,4
9x12,24,15,13
9x12,25,5,5
9x12,26,15,13
9x12,27,5,5
9x12,28,15,13
9x12,29,5,5
9x12,3,15,15
9x12,30,15,11
9x12,32,10,10
9x12,34,10,9
9x12,36,10,8
9x12,38,10,9
9x12,4,74,74
9x12,40,10,6
9x12,5,15,15
9x12,6,74,72
9x12,7,15,14
9x12,8,74,72
9x12,9,15,14
