resolution,people,tries,time
12x16,10,2,1.706582
12x16,11,2,1.887264
12x16,12,2,2.099574
12x16,13,2,2.266606
12x16,14,2,2.436374
12x16,15,2,2.652966
12x16,16,2,2.82738
12x16,17,2,3.028452
12x16,18,2,3.239075
12x16,19,2,3.3967
12x16,2,2,0.377652
12x16,20,2,3.553046
12x16,21,2,3.775962
12x16,22,2,4.010834
12x16,23,2,4.246266
12x16,24,2,4.404631
12x16,25,2,4.650162
12x16,26,2,4.860401
12x16,27,2,5.051046
12x16,28,2,5.3025
12x16,29,2,5.454759
12x16,3,2,0.548427
12x16,30,2,5.705009
12x16,31,2,5.924614
12x16,32,2,6.239571
12x16,33,2,6.335279
12x16,34,2,6.593336
12x16,35,2,6.901098
12x16,36,2,7.047056
12x16,37,2,7.322048
12x16,38,2,7.590361
12x16,39,2,7.845803
12x16,4,2,0.680769
12x16,40,2,8.076417
12x16,5,2,0.852241
12x16,6,2,1.015407
12x16,7,2,1.201665
12x16,8,2,1.364126
12x16,9,2,1.55947
15x20,10,2,2.142451
15x20,11,2,2.409533
15x20,12,2,2.613828
15x20,13,2,2.867662
15x20,14,2,3.080229
15x20,15,2,3.346993
15x20,16,2,3.65119
15x20,17,2,3.895616
15x20,18,2,4.150585
15x20,19,2,4.464131
15x20,2,2,0.475124
15x20,20,2,4.719017
15x20,21,2,5.064244
15x20,22,2,5.338267
15x20,23,2,5.656917
15x20,24,2,6.017095
15x20,25,2,6.279525
15x20,26,2,6.599592
15x20,27,2,6.894367
15x20,28,2,7.28854
15x20,29,2,7.708645
15x20,3,2,0.662832
15x20,30,2,7.99912
15x20,31,2,8.643436
15x20,32,2,8.83967
15x20,33,2,9.158422
15x20,34,2,10.007767
15x20,35,2,10.027942
15x20,36,2,10.73087
15x20,37,2,10.799373
15x20,38,2,10.936795
15x20,39,2,11.396846
15x20,4,2,0.844647
15x20,40,2,11.708528
15x20,5,2,1.051641
15x20,6,2,1.25484
15x20,7,2,1.475896
15x20,8,2,1.666919
15x20,9,2,1.916147
18x24,10,2,2.849008
