resolution,emotions,people,tries,time
4,14,10,2,2.8715076
4,14,11,2,3.0451003
4,14,12,2,3.0833732
4,14,13,2,3.030399
4,14,14,2,3.4126998
4,14,15,2,3.5577401
4,14,16,2,3.7963796
4,14,17,2,4.0513492
4,14,18,2,4.2826783
4,14,19,2,4.5545969
4,14,2,2,0.6666217
4,14,20,2,4.6135759
4,14,21,2,4.7689742
4,14,22,2,5.030447
4,14,23,2,5.2783587
4,14,24,2,5.6062523
4,14,25,2,5.8210561
4,14,26,2,6.0370668
4,14,27,2,6.3378012
4,14,28,2,6.6132811
4,14,29,2,6.8524216
4,14,3,2,1.0779165
4,14,30,2,7.1059495
4,14,31,2,7.404199
4,14,32,2,7.6949009
4,14,33,2,7.9197309
4,14,34,2,8.2002197
4,14,35,2,8.4916588
4,14,36,2,8.7593017
4,14,37,2,8.9997599
4,14,38,2,9.3263521
4,14,39,2,9.6565185
4,14,4,2,1.5484866
4,14,40,2,9.966545
4,14,41,2,10.4428384
4,14,42,2,10.7729154
4,14,43,2,11.1638532
4,14,44,2,11.34202
4,14,45,2,11.6882409
4,14,46,2,11.8840523
4,14,47,2,12.2628833
4,14,48,2,12.5786914
4,14,49,2,12.915024
4,14,5,2,1.6815463
4,14,50,2,13.224518
4,14,51,2,13.5256419
4,14,52,2,13.7245716
4,14,53,2,14.1575461
4,14,54,2,14.4487356
4,14,55,2,14.7474151
4,14,56,2,15.1476776
4,14,57,2,15.4593567
4,14,58,2,15.7233974
4,14,59,2,16.2148208
4,14,6,2,1.7292271
4,14,60,2,16.4089407
4,14,61,2,16.9465807
4,14,62,2,17.1200356
4,14,63,2,17.5635653
4,14,64,2,17.9700411
4,14,65,2,18.2784441
4,14,66,2,18.156199
4,14,67,2,18.5011058
4,14,68,2,18.8153174
4,14,69,2,19.2771395
4,14,7,2,2.3004307
4,14,70,2,19.5996587
4,14,71,2,20.0383638
4,14,72,2,20.4418901
4,14,73,2,20.7870682
4,14,74,2,21.0991787
4,14,75,2,21.4680107
4,14,76,2,21.8240354
4,14,77,2,22.395211
4,14,78,2,22.6961478
4,14,79,2,23.1967918
4,14,8,2,2.6002765
