resolution,emotions,people,tries,time
1,10,10,30,22.8697169
1,10,11,30,25.3971477
1,10,12,30,26.8283069
1,10,13,30,29.2717931
1,10,14,30,31.7046866
1,10,15,30,34.2408617
1,10,16,30,34.6487032
1,10,17,30,40.2886015
1,10,18,30,42.6048431
1,10,19,30,42.3623009
1,10,2,30,7.352855
1,10,20,30,46.9462
1,10,21,30,44.3770012
1,10,22,30,48.0639453
1,10,23,30,53.0775477
1,10,24,30,51.2396239
1,10,25,30,54.7816536
1,10,26,30,56.1710262
1,10,27,30,61.7307997
1,10,28,30,56.468527
1,10,29,30,62.9979088
1,10,3,30,6.4723636
1,10,30,30,65.3489812
1,10,31,26,60.9180398
1,10,32,26,61.3218464
1,10,33,26,57.3252143
1,10,34,26,65.0806213
1,10,35,26,65.1738257
1,10,36,26,67.2614403
1,10,37,26,68.7777036
1,10,38,26,74.6503107
1,10,39,26,75.6699413
1,10,4,30,12.6046543
1,10,40,26,68.4260297
1,10,41,2,6.0150993
1,10,42,2,6.1867044
1,10,43,2,6.6943116
1,10,5,30,12.2734454
1,10,6,30,13.4330533
1,10,7,30,16.3954706
1,10,8,30,17.6986865
1,10,9,30,20.2485283
1,11,10,30,29.4553768
1,11,11,30,36.8341404
1,11,12,30,27.1310734
1,11,13,30,32.3436549
1,11,14,30,35.6156649
1,11,15,30,57.2808102
1,11,16,30,37.40612
1,11,17,30,45.2901087
1,11,18,30,44.8011703
1,11,19,30,46.496725
1,11,2,30,11.9541913
1,11,20,30,50.5574472
1,11,21,30,50.7488681
1,11,22,30,52.2603735
1,11,23,30,58.3814399
1,11,24,30,71.3249157
1,11,25,30,59.1247654
1,11,26,30,65.1067265
1,11,27,30,65.7191763
1,11,28,30,68.050998
1,11,29,30,67.4076725
1,11,3,30,7.3650735
1,11,30,30,69.5095967
1,11,31,26,82.8279294
1,11,32,26,79.8304289
1,11,33,26,62.7253144
1,11,34,26,75.6801403
1,11,35,26,69.881391
1,11,36,26,78.3473884
1,11,37,26,78.8226366
1,11,38,26,88.481275
1,11,39,26,83.3551851
1,11,4,30,8.9865711
1,11,40,26,77.0452259
1,11,41,2,6.3706668
1,11,42,2,6.761129
1,11,43,2,7.1669172
1,11,44,2,7.6662112
1,11,45,2,8.4176489
1,11,46,2,8.4064067
1,11,47,2,9.4953531
1,11,48,2,10.825391
1,11,49,2,9.3831207
1,11,5,30,11.907465
1,11,50,2,10.5619319
1,11,51,2,10.3983783
1,11,52,2,9.7874037
1,11,53,2,11.2116753
1,11,54,2,12.3817245
1,11,6,30,20.510519
1,11,7,30,15.6775287
1,11,8,30,20.4512425
1,11,9,30,20.6361984
1,12,10,30,26.9612932
1,12,11,30,26.7884585
1,12,12,30,31.5108065
1,12,13,30,35.3027569
1,12,14,30,47.997693
1,12,15,30,38.4881538
1,12,16,30,42.4610298
1,12,17,30,48.1114249
1,12,18,30,48.2779555
1,12,19,30,49.4416372
1,12,2,30,13.2875824
1,12,20,30,56.5572149
1,12,21,30,53.0602446
1,12,22,30,56.4429349
1,12,23,30,64.3698817
1,12,24,30,64.6125146
1,12,25,30,63.3704188
1,12,26,30,73.0035612
1,12,27,30,90.2797089
1,12,28,30,68.9795738
1,12,29,30,77.452845
1,12,3,30,12.0581894
1,12,30,30,76.5114005
1,12,31,26,75.6244108
1,12,32,26,73.5939096
1,12,33,26,76.2367386
1,12,34,26,74.149682
1,12,35,26,80.9793943
1,12,36,26,102.3983278
1,12,37,26,87.8074028
1,12,38,26,86.4179513
1,12,39,26,93.2209961
1,12,4,30,10.7338695
